"company name","Name of owner","Street","City","District","Tel.","homepage","Email","page_url"
"Töpfer Dipl. Ing. Rolf  ","","Himmelgeister Str. 37","Düsseldorf","Bilk","(02 11) 30 27 16-0","http://www.blinken-toepfer.de","info@blinken-toepfer.de","https://www.dasoertliche.de/?id=0184088687297393278156&recuid=OVBCCYJQMALIGMQTQOIOXEPPOCNLLIOU5N52NY5W6XV3VYDWAI&action=58&pagePos=1&dar=5&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=0&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Schüßler-Plan Ingenieurges. mbH  ","","St.-Franziskus-Str. 148","Düsseldorf","Mörsenbroich","(02 11) 61 02-01","http://www.schuessler-plan.de","duesseldorf@schuessler-pla...","https://www.dasoertliche.de/?id=0184088669174392846134&recuid=JFLAG6OHRQCSUPVVUCPP5LP3JSH6DIHA4FEM5AOTZH7YN5CKAI&action=58&pagePos=1&dar=2&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=11&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"AES Arbeits Entlastungs Service GmbH  ","","Striegauer Weg 7","Düsseldorf","Vennhausen","(02 11) 9 03 00-0","www.aes-df.de","","https://www.dasoertliche.de/?id=0184080065591392938153&recuid=S3753PIYX27NHLFWJBPGI5SSSNTQ45Z4JCLSOJ3LHJJXAXMVAI&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=24&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"ACS Airport Consulting & Services Planungsges. mbH  ","","Peter-Müller-Str. 16","Düsseldorf","Unterrath","(02 11) 5 28 74 45-0","http://www.acs-planer.de","","https://www.dasoertliche.de/?id=0184067675366393370086&recuid=IJ236VKPTU2ACJTCSPV5FGGYI6TY3M465HGXJQFS2GHIETYC&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=23&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"A + U GmbH Dr. Scheffold  ","","Klosekamp 17","Düsseldorf","Kaiserswerth","(02 11) 40 10 55","","","https://www.dasoertliche.de/?id=0184032976828329877721&recuid=562Y5JK5HT2M7HWPBFIFIJQY5JVCSXCGALXF6TSXPIXNKAQ&action=58&pagePos=1&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=1&hitno=22&kgs=05111000&zvo_ok=0&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Blasczok Ingenieure  ","","Schwanenmarkt 4","Düsseldorf","Carlstadt","(02 11) 8 69 38 45","www.blasczok-ingenieure.de","","https://www.dasoertliche.de/?id=0184079103930381533935&recuid=5NITQ3HUDYJYOMEY5MCLCNH452CEJ3CP7DS4C66EBGINCAQ&action=58&pagePos=2&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=26&hitno=24&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Blasczok Ingenieure  ","","Kaiserswerther Str. 43","Düsseldorf","Pempelfort","(02 11) 3 83 08 83","http://www.blasczok-ingenieure.de","","https://www.dasoertliche.de/?id=0184054894725329877721&recuid=CY6VVAZ4IR7XUXDFXC32NQUQCPPNDKNUSQMOXGEUUSQCYAQ&action=58&pagePos=2&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=26&hitno=23&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Bilfinger Berger AG NL Ingenieurbau Inland  ","","Friedrichstr. 103","Düsseldorf","Unterbilk","(02 11) 3 01 83-0","http://www.hochbau.bilfinger.com","","https://www.dasoertliche.de/?id=0184054277980389649502&recuid=SP46VNXVA657VFPVEVOQYQCUSY7SYGR2J2JH6UI4MNDKSAQ&action=58&pagePos=2&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=26&hitno=22&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"DASTUR ENGINEERING INTERNATIONAL GmbH  ","","Emanuel-Leutze-Str. 8","Düsseldorf","Lörick","(02 11) 1 78 54-0","http://www.dastur.com/","","https://www.dasoertliche.de/?id=0184085562616393370086&recuid=QTPHBFEFPKNMLDOQEYGTKZTTQFZHQBJNNGCWYTYNCRC34AQ&action=58&pagePos=3&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=51&hitno=24&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Czock Ingenieure Ingenieurgesellschaft mbH Verkehrsplanung u. Städtebau  ","","Gerresheimer Landstr. 110","Düsseldorf","Unterbach","(02 11) 2 05 51-0","www.czock-ingenieure.de","","https://www.dasoertliche.de/?id=0184059112099389395069&recuid=DPESK7NWUCFGDJTYNLHFLTLEDZH5IFFSPYNEPHRPRNJCCAQ&action=58&pagePos=3&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=51&hitno=23&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
